Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Angola,AGO,43185.60921,57982.70087,82325.9083,83628.13621,88673.04141,86726.86873,82023.70755,74848.14556,78672.38408,70781.0562,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Argentina,ARG,249188.7612,294271.3913,366978.6016,365636.2677,372415.2067,375694.4541,379420.2746,378187.3624,374523.504,361433.0173,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Albania,ALB,11181.07427,8163.977582,9298.28975,9738.800297,9408.765344,9191.743023,9924.274102,9671.388481,9196.36286,8304.29494,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Armenia,ARM,24389.02825,5990.512959,9141.888191,9132.807486,9155.78308,9415.287058,9251.278735,9443.729713,9874.86109,10422.04117,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Antigua and Barbuda,ATG,358.408496,584.648482,1046.077422,1061.010555,1085.816188,1123.550637,1150.138886,1185.478236,1211.480385,1203.631334,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Algeria,DZA,122219.4894,161798.7973,239618.2599,252331.6686,261745.2952,262948.8019,265628.7808,274181.7018,279200.6234,266702.6795,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Afghanistan,AFG,11630.79506,14205.32527,30430.30008,31165.8158,31619.07371,30864.98363,31750.55044,32580.49106,32736.76917,31119.04539,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Andorra,AND,430.703269,588.117968,588.816848,574.862934,579.22902,585.850664,585.144308,617.413952,605.715596,577.573639,..,..
