Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,11229515599,9129594819,1.33402E+11,1.37244E+11,87219300385,49840491178,68972769396,77792944472,69309110146,50241368244,65685435100,1.06714E+11
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,1.41353E+11,2.84204E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.8554E+11,4.87227E+11,6.3277E+11
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2028553750,3480355258,12776224537,13228147516,11386853143,11861199831,13019726212,15156424062,15401826081,15162734205,17930565119,18882095518
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838858,1911563669,11121464430,11609513241,10553337528,10546136240,11527458713,12457940705,13619290546,12641698594,13861409969,19502783988
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,764804469.3,1873184358,2727932961,2791061453,2963128492,2983798883,3092178771,3276187709,3395793855,2610038939,3126019385,..
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,459470370.4,826370370.4,1181448148,1249733333,1336692593,1436585185,1467955556,1604770370,1675403704,1416348148,1560518519,1757603704
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62048505222,54790398813,2.09755E+11,2.1381E+11,1.65979E+11,1.60034E+11,1.70097E+11,1.74911E+11,1.7176E+11,1.45744E+11,1.63472E+11,1.91913E+11
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,20564485419,20550582747,19998143636,18019554403,18896353156,18418860354,18904502222,20143451706,14583135237,..
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,638000000,643000000,673000000,671000000,612000000,639000000,647000000,716000000,709000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1028989394,1429048106,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3325145407,3352032737
