Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (current US$),NY.GDP.MKTP.CD,Serbia,SRB,..,6875845986.52121,48394239474.6762,47062202241.4378,39655949731.3816,40692661657.284,44179075778.9267,50640662859.4987,51514242775.5241,53356484763.839,63082021205.9295,63501748652.2968
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,26932729102.7371,18291990619.137,236634603927.583,221415614007.347,184388404428.843,137278320084.171,166805788966.78,179339977517.062,181667185041.48,171082365723.326,197112255360.612,220623001966.686
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,2737088195.94459,2537307566.12394,8031571927.62055,8801326169.14547,9219474373.16418,7909868618.46366,8943543677.18899,9880675785.93057,11025371147.1876,12056108780.2073,12602334123.7637,13164667626.9363
GDP (current US$),NY.GDP.MKTP.CD,High income,HIC,18985012664862,27764050359632.2,50054025962686.7,51134057169125.4,48273634988451.5,49306277527564.3,51570870016899.8,54839704976037.1,55315474922573.4,53937976780898.1,60016712305060.2,61535768880816.7
GDP (current US$),NY.GDP.MKTP.CD,Heavily indebted poor countries (HIPC),HPC,162560597218.284,177567717258.143,677647202698.725,719693866273.251,698814203077.249,731974952060.25,809850137940.151,771241850302.934,799160667507.735,808664234946.38,898771753067.723,970109981803.944
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean,LCN,1182388726802.35,2292616638222.34,6307751441599.87,6432625813025.44,5376540613253.84,5249746391043.57,5832610432359.4,5706087467774.46,5622813152782.54,4777568569259.72,5510523909432.78,6246621760429.05
GDP (current US$),NY.GDP.MKTP.CD,"Yemen, Rep.",YEM,5647119229.00763,9652436179.64605,40415233436.1767,43228585321.3272,42444489460.9387,31317824906.4358,26842231204.8047,21606161066.2074,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Late-demographic dividend,LTE,2036712896681.06,3410160195631.02,19042110155027.3,19775313806693.1,18549854155934.1,18593432462844.9,20629823637317.1,22621357448474.1,23047283010403.6,22525940505680.5,26827496302511.4,28078790059154.9
GDP (current US$),NY.GDP.MKTP.CD,Least developed countries: UN classification,LDC,183320992524.697,218551115853.245,917315427880.031,985868650324.885,954995951520.475,990949126516.125,1104009004406.99,1088187940163.63,1142396570094.39,1162434896497.14,1266463101991.61,1416759808404.47
GDP (current US$),NY.GDP.MKTP.CD,India,IND,320979026420.035,468394937262.37,1856721494834.64,2039126469963.35,2103588347241.77,2294796889945.04,2651474263257.15,2702929639861.5,2835606242052.48,2671595389575.7,3150306834279.65,3385089881935.39
