Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Arable land (% of land area),AG.LND.ARBL.ZS,Angola,AGO,2.326141012,2.406352771,3.886259726,4.018609128,4.110852651,4.288922756,4.292933344,4.296943932,4.301756638,4.305767225,4.309777813,..
Arable land (% of land area),AG.LND.ARBL.ZS,Argentina,ARG,9.710635841,10.09979208,14.39377496,14.32960986,14.74010575,14.67557524,14.7572067,14.69247876,14.91172171,15.35020762,15.42328861,..
Arable land (% of land area),AG.LND.ARBL.ZS,Albania,ALB,21.13138686,21.09489051,22.52189781,22.46715328,22.44890511,22.63868613,22.33576642,22.31189781,22.26277372,21.88321168,21.89416058,..
Arable land (% of land area),AG.LND.ARBL.ZS,Armenia,ARM,..,15.8061117,15.74288725,15.71829996,15.69020021,15.6796628,15.66561293,15.65156305,15.62346329,15.59536354,15.57499122,..
Arable land (% of land area),AG.LND.ARBL.ZS,Aruba,ABW,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,..
Arable land (% of land area),AG.LND.ARBL.ZS,Antigua and Barbuda,ATG,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,..
Arable land (% of land area),AG.LND.ARBL.ZS,Algeria,DZA,2.97303652,3.216975824,3.147362852,3.136110575,3.133044273,3.108734325,3.136700044,3.149252417,3.161804747,3.161804747,3.161804747,..
Arable land (% of land area),AG.LND.ARBL.ZS,Afghanistan,AFG,12.12762369,11.77958696,11.93597351,11.91450869,11.90530948,11.85011422,11.80411818,11.94977232,11.94057311,12.00343437,12.00343437,..
Arable land (% of land area),AG.LND.ARBL.ZS,American Samoa,ASM,3.2,3.8,4.45,4.5,4.55,4.6,4.65,4.7,4.75,4.8,4.85,..
Arable land (% of land area),AG.LND.ARBL.ZS,Andorra,AND,2.127659574,2.127659574,1.723404255,1.70212766,1.723404255,1.744680851,1.744680851,1.754255319,1.683191489,1.635957447,1.590638298,..
